"","MSSubClass","MSZoning","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","TotalBsmtSF","HeatingQC","CentralAir","GrLivArea","KitchenQual","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageArea","GarageQual","GarageCond","PavedDrive","Fence","SaleType","SaleCondition","SalePrice","BeenRemod","EraBuilt","Pool","TotBathrooms","TotPorch"
"1","60","RL","NoAlley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story","7","5",2003,"Gable","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ",706,"Unf",856,"Ex","Y",1710,"Gd","Typ",0,"No","Attchd","RFn",548,"TA","TA","Y","None","WD","Normal",12.247694320221,"FALSE","2000s","FALSE",3.5,61
"2","20","RL","NoAlley","Reg","Lvl","FR2","Gtl","Veenker","Feedr","1Fam","1Story","6","8",1976,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",978,"Unf",1262,"Ex","Y",1262,"TA","Typ",1,"TA","Attchd","RFn",460,"TA","TA","Y","None","WD","Normal",12.109010932687,"FALSE","1970s","FALSE",2.5,298
"3","60","RL","NoAlley","IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story","7","5",2002,"Gable","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ",486,"Unf",920,"Ex","Y",1786,"Gd","Typ",1,"TA","Attchd","RFn",608,"TA","TA","Y","None","WD","Normal",12.3171666930358,"TRUE","2000s","FALSE",3.5,42
"4","70","RL","NoAlley","IR1","Lvl","Corner","Gtl","Crawfor","Norm","1Fam","2Story","7","5",1970,"Gable","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",216,"Unf",756,"Gd","Y",1717,"Gd","Typ",1,"Gd","Detchd","Unf",642,"TA","TA","Y","None","WD","Abnorml",11.8493977015914,"TRUE","1910s","FALSE",2,307
"5","60","RL","NoAlley","IR1","Lvl","FR2","Gtl","NoRidge","Norm","1Fam","2Story","8","5",2000,"Gable","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ",655,"Unf",1145,"Ex","Y",2198,"Gd","Typ",1,"TA","Attchd","RFn",836,"TA","TA","Y","None","WD","Normal",12.4292161968444,"FALSE","2000s","FALSE",3.5,276
"6","50","RL","NoAlley","IR1","Lvl","Inside","Gtl","Mitchel","Norm","1Fam","1.5Fin","5","5",1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",732,"Unf",796,"Ex","Y",1362,"TA","Typ",0,"No","Attchd","Unf",480,"TA","TA","Y","MnPrv","WD","Normal",11.870599909242,"TRUE","1990s","FALSE",2.5,390
"7","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story","8","5",2005,"Gable","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ",1369,"Unf",1686,"Ex","Y",1694,"Gd","Typ",1,"Gd","Attchd","RFn",636,"TA","TA","Y","None","WD","Normal",12.6346030265693,"TRUE","2000s","FALSE",3,312
"8","60","RL","NoAlley","IR1","Lvl","Corner","Gtl","NWAmes","PosN","1Fam","2Story","7","6",1973,"Gable","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","ALQ",859,"BLQ",1107,"Ex","Y",2090,"TA","Typ",2,"TA","Attchd","RFn",484,"TA","TA","Y","None","WD","Normal",12.2060726455302,"FALSE","1970s","FALSE",3.5,667
"9","50","RM","NoAlley","Reg","Lvl","Inside","Gtl","OldTown","Artery","1Fam","1.5Fin","7","5",1950,"Gable","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",952,"Gd","Y",1774,"TA","Min1",2,"TA","Detchd","Unf",468,"Fa","TA","Y","None","WD","Abnorml",11.7745202026587,"TRUE","1930s","FALSE",2,295
"10","190","RL","NoAlley","Reg","Lvl","Corner","Gtl","BrkSide","Artery","2fmCon","1.5Unf","5","6",1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",851,"Unf",991,"Ex","Y",1077,"TA","Typ",2,"TA","Attchd","RFn",205,"Gd","TA","Y","None","WD","Normal",11.6784399034478,"TRUE","1930s","FALSE",2,4
